[2026-04-10 15:25:02] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 12 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:55:14] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 109/526 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:14] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 110/527 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:15] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 111/528 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:15] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 112/529 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:17] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 97/514 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:17] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 98/515 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:17] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 99/516 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:17] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 100/517 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:17] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 101/518 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:17] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 102/519 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:17] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 103/520 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:20] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:55:20] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-10 15:55:21] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 121 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-10 15:55:21] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 241/530 packets in the last 20 seconds (45% of recent traffic).
[2026-04-10 15:55:21] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-10 15:55:21] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 151/569 packets in the last 20 seconds (27% of recent traffic).
[2026-04-10 15:55:22] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-10 15:55:22] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-10 15:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 104/521 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 105/522 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 106/523 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 107/524 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 108/525 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 109/526 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 110/527 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 111/528 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:24] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 112/529 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 97/514 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 98/515 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 99/516 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 100/517 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 101/518 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 102/519 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:27] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 103/520 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:31] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:55:31] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-10 15:55:31] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 115 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-10 15:55:31] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 241/521 packets in the last 20 seconds (46% of recent traffic).
[2026-04-10 15:55:32] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-10 15:55:32] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 151/535 packets in the last 20 seconds (28% of recent traffic).
[2026-04-10 15:55:32] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-10 15:55:32] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-10 15:55:34] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 101/515 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:34] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 101/515 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:34] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 100/514 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:34] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 100/514 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:34] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 100/514 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:34] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 100/514 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:34] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 100/514 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:34] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 100/514 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:34] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 100/514 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:37] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 91/505 packets in the last 20 seconds (18% of recent traffic).
[2026-04-10 15:55:37] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 91/505 packets in the last 20 seconds (18% of recent traffic).
[2026-04-10 15:55:38] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 90/504 packets in the last 20 seconds (18% of recent traffic).
[2026-04-10 15:55:38] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 90/504 packets in the last 20 seconds (18% of recent traffic).
[2026-04-10 15:55:38] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 90/504 packets in the last 20 seconds (18% of recent traffic).
[2026-04-10 15:55:38] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 90/504 packets in the last 20 seconds (18% of recent traffic).
[2026-04-10 15:55:38] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 90/504 packets in the last 20 seconds (18% of recent traffic).
[2026-04-10 15:55:41] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 16 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-10 15:55:41] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
[2026-04-10 15:55:41] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 90 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-10 15:55:41] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 201/469 packets in the last 20 seconds (43% of recent traffic).
[2026-04-10 15:55:42] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 26 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-10 15:55:42] [WARNING] ANOM-TRAFFIC-SPIKE | 192.168.56.77 -> 192.168.1.1 | Traffic spike from a single source detected | 192.168.56.77 generated 126/485 packets in the last 20 seconds (26% of recent traffic).
[2026-04-10 15:55:42] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-10 15:55:42] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-10 15:55:45] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:27 | Traffic spike from a single source detected | 10.10.10.50 generated 88/470 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:45] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:28 | Traffic spike from a single source detected | 10.10.10.50 generated 89/467 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:45] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:29 | Traffic spike from a single source detected | 10.10.10.50 generated 90/464 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:45] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:30 | Traffic spike from a single source detected | 10.10.10.50 generated 91/462 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:45] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:31 | Traffic spike from a single source detected | 10.10.10.50 generated 92/458 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:45] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:32 | Traffic spike from a single source detected | 10.10.10.50 generated 93/455 packets in the last 20 seconds (20% of recent traffic).
[2026-04-10 15:55:45] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:33 | Traffic spike from a single source detected | 10.10.10.50 generated 94/452 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:45] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:34 | Traffic spike from a single source detected | 10.10.10.50 generated 95/450 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:45] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:35 | Traffic spike from a single source detected | 10.10.10.50 generated 96/449 packets in the last 20 seconds (21% of recent traffic).
[2026-04-10 15:55:48] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:20 | Traffic spike from a single source detected | 10.10.10.50 generated 81/462 packets in the last 20 seconds (18% of recent traffic).
[2026-04-10 15:55:48] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:21 | Traffic spike from a single source detected | 10.10.10.50 generated 82/460 packets in the last 20 seconds (18% of recent traffic).
[2026-04-10 15:55:48] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:22 | Traffic spike from a single source detected | 10.10.10.50 generated 83/458 packets in the last 20 seconds (18% of recent traffic).
[2026-04-10 15:55:48] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:23 | Traffic spike from a single source detected | 10.10.10.50 generated 84/457 packets in the last 20 seconds (18% of recent traffic).
[2026-04-10 15:55:48] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:24 | Traffic spike from a single source detected | 10.10.10.50 generated 85/455 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:48] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:25 | Traffic spike from a single source detected | 10.10.10.50 generated 86/453 packets in the last 20 seconds (19% of recent traffic).
[2026-04-10 15:55:48] [WARNING] ANOM-TRAFFIC-SPIKE | 10.10.10.50 -> 192.168.1.1:26 | Traffic spike from a single source detected | 10.10.10.50 generated 87/452 packets in the last 20 seconds (19% of recent traffic).
[2026-04-11 09:53:00] [ERROR] SIG-PORT-SCAN | 10.10.10.50 -> 192.168.1.1 | Potential TCP port scan detected | Source 10.10.10.50 targeted 12 unique destination ports on 192.168.1.1 in the last 10 seconds.
[2026-04-11 09:53:00] [CRITICAL] SIG-SYN-FLOOD | 172.16.0.25 -> 192.168.1.100:80 | Possible SYN flood detected | 35 TCP SYN packets hit 192.168.1.100:80 within 10 seconds.
[2026-04-11 09:53:00] [WARNING] ANOM-TRAFFIC-SPIKE | 172.16.0.25 -> 192.168.1.100:80 | Traffic spike from a single source detected | 172.16.0.25 generated 40/59 packets in the last 20 seconds (68% of recent traffic).
[2026-04-11 09:53:00] [ERROR] SIG-ICMP-FLOOD | 192.168.56.77 -> 192.168.1.1 | Possible ICMP flood detected | 20 ICMP packets arrived from 192.168.56.77 within 5 seconds.
[2026-04-11 09:53:00] [WARNING] SIG-BROADCAST-UDP | 192.168.1.60 -> 192.168.1.255:161 | Large UDP packet sent to broadcast address | Broadcast-style UDP traffic may indicate discovery abuse or misuse of internal services.
[2026-04-11 09:53:00] [WARNING] ANOM-LARGE-PACKET | 192.168.1.60 -> 192.168.1.255:161 | Unusually large packet observed | Current packet length 1228 bytes exceeded the recent baseline threshold of 900.0 bytes.
[2026-04-11 09:53:02] [WARNING] ANOM-WIDE-TARGETING | 10.10.10.50 -> 192.168.1.1 | One source is probing many service ports | 10.10.10.50 contacted 16 distinct destination ports in the last 20 seconds.
